Date,Open,High,Low,Close,Adj Close,Range,daily_delta,percentage_delta,Volume,Event,Category
6/24/2020,1437.199951,1437.199951,1374.400024,1389.73999,1389.73999,62.799927,-49.599976,-3.446022286,5597680000,0,2
6/25/2020,1388.410034,1413.709961,1375.369995,1413.310059,1413.310059,38.339966,23.570069,1.696005668,4847690000,0,0
6/26/2020,1411.369995,1411.369995,1375.589966,1378.780029,1378.780029,35.780029,-34.53003,-2.443202734,8107850000,0,2
6/29/2020,1383.040039,1427.089966,1381.040039,1421.209961,1421.209961,46.049927,42.429932,3.077353248,4473970000,0,1
6/30/2020,1418.550049,1444.119995,1413.180054,1441.369995,1441.369995,30.939941,20.160034,1.418512011,4705850000,0,0
7/1/2020,1443.290039,1451.459961,1423.650024,1427.310059,1427.310059,27.809937,-14.059936,-0.975456409,4449230000,0,0
7/2/2020,1433.390015,1459.410034,1428.550049,1431.859985,1431.859985,30.859985,4.549926,0.318776286,4197720000,0,0
7/3/2020,1433.390015,1459.410034,1428.550049,1431.859985,1431.859985,30.859985,4.549926,0.318776286,4197720000,0,0
7/6/2020,1435.949951,1461.280029,1435.949951,1442.880005,1442.880005,25.330078,11.02002,0.76962972,4759160000,0,0
7/7/2020,1441.300049,1441.300049,1414.23999,1416,1416,27.060059,-26.880005,-1.862941125,4571330000,0,0
7/8/2020,1416.359985,1431.829956,1402.180054,1427.400024,1427.400024,29.649902,11.400024,0.805086441,4937310000,0,0
7/9/2020,1427.439941,1427.829956,1384.099976,1398.920044,1398.920044,43.72998,-28.47998,-1.995234659,4843650000,0,0
7/10/2020,1398.920044,1422.709961,1395.650024,1422.680054,1422.680054,27.059937,23.76001,1.698453754,4524190000,0,0
7/13/2020,1427.359985,1452.319946,1403.060059,1403.569946,1403.569946,49.259887,-19.110108,-1.34324706,4902440000,0,0
7/14/2020,1403.130005,1428.400024,1393.900024,1428.26001,1428.26001,34.5,24.690064,1.759090387,4507140000,0,0
7/15/2020,1432.5,1485.050049,1432.5,1478.27002,1478.27002,52.550049,50.01001,3.501463995,4686830000,0,1
7/16/2020,1473.780029,1473.780029,1460.079956,1467.560059,1467.560059,13.700073,-10.709961,-0.724492877,3972860000,0,0
7/17/2020,1467.869995,1482.400024,1464.709961,1473.319946,1473.319946,17.690063,5.759887,0.392480496,4012850000,0,0
7/20/2020,1471.670044,1474.369995,1461.300049,1467.949951,1467.949951,13.069946,-5.369995,-0.36448261,3979340000,0,0
7/21/2020,1472.130005,1496.72998,1472.130005,1487.51001,1487.51001,24.599975,19.560059,1.332474516,4556610000,0,0
7/22/2020,1486.430054,1493.560059,1478.880005,1490.140015,1490.140015,14.680054,2.630005,0.176805869,4267160000,0,0
7/23/2020,1489.329956,1507.23999,1477.22998,1490.199951,1490.199951,30.01001,0.059936,0.004022172,4296760000,1,0
7/24/2020,1488.670044,1488.670044,1466.099976,1467.550049,1467.550049,22.570068,-22.649902,-1.519923684,3689410000,1,0
7/27/2020,1468.22998,1484.660034,1464.47998,1484.650024,1484.650024,20.180054,17.099975,1.165205576,3970310000,1,0
7/28/2020,1484.369995,1485.339966,1469.550049,1469.76001,1469.76001,15.789917,-14.890014,-1.00293091,4053180000,1,0
7/29/2020,1471.369995,1501.859985,1471.369995,1500.630005,1500.630005,30.48999,30.869995,2.100342559,4478200000,1,1
7/30/2020,1499.199951,1499.199951,1475.160034,1495.099976,1495.099976,24.039917,-5.530029,-0.368513823,4264920000,1,0
7/31/2020,1495.150024,1495.150024,1457.619995,1480.430054,1480.430054,37.530029,-14.669922,-0.981200069,5007530000,1,0
8/3/2020,1485.48999,1507.930054,1483.369995,1506.800049,1506.800049,24.560059,26.369995,1.781238832,4438940000,1,0
8/4/2020,1506.530029,1517.219971,1501.579956,1517.209961,1517.209961,15.640015,10.409912,0.690862202,4414380000,1,0
8/5/2020,1521.790039,1546.400024,1521.790039,1546.23999,1546.23999,24.609985,29.030029,1.913382442,4535060000,0,0
8/6/2020,1546.439941,1550.469971,1537.459961,1544.619995,1544.619995,13.01001,-1.619995,-0.104769959,4278930000,0,0
8/7/2020,1542.52002,1569.26001,1539.52002,1569.180054,1569.180054,29.73999,24.560059,1.590038914,4110030000,0,0
8/10/2020,1573.75,1593.829956,1573.75,1584.670044,1584.670044,20.079956,15.48999,0.987139109,4327920000,0,0
8/11/2020,1587.569946,1603.599976,1570.699951,1575.099976,1575.099976,32.900025,-9.570068,-0.603915499,4880540000,0,0
8/12/2020,1577.900024,1595.119995,1574.25,1583.25,1583.25,20.869995,8.150024,0.517428997,3772250000,0,0
8/13/2020,1580.26001,1590.089966,1575.959961,1579.790039,1579.790039,14.130005,-3.459961,-0.218535354,3438730000,0,0
8/14/2020,1575.780029,1583.47998,1567.880005,1577.880005,1577.880005,15.599975,-1.910034,-0.120904294,3200060000,0,0
8/17/2020,1579.47998,1586.52002,1575.839966,1585.469971,1585.469971,10.680054,7.589966,0.481023017,3460330000,0,0
8/18/2020,1585.540039,1585.540039,1566.51001,1569.77002,1569.77002,19.030029,-15.699951,-0.990239569,3669550000,0,0
8/19/2020,1570.439941,1585.160034,1569.97998,1572.069946,1572.069946,15.180054,2.299926,0.146513564,3679480000,0,0
8/20/2020,1567.77002,1570.380005,1554.459961,1564.300049,1564.300049,15.920044,-7.769897,-0.494246266,3431040000,0,0
8/21/2020,1563.369995,1563.369995,1545.359985,1552.47998,1552.47998,18.01001,-11.820069,-0.755613925,3505010000,0,0
8/24/2020,1559.959961,1568.72998,1554.099976,1568.469971,1568.469971,14.630004,15.989991,1.029964393,3743410000,0,0
8/25/2020,1572.650024,1574.23999,1556.780029,1571.209961,1571.209961,17.459961,2.73999,0.1746919,3627650000,0,0
8/26/2020,1570.719971,1572.569946,1559.72998,1560.189941,1560.189941,12.839966,-11.02002,-0.701371572,3780530000,0,0
8/27/2020,1561.359985,1573.380005,1555.27002,1564.560059,1564.560059,18.109985,4.370118,0.280101665,3955890000,0,0
8/28/2020,1570.459961,1578.339966,1567.130005,1578.339966,1578.339966,11.209961,13.779907,0.88075283,3868510000,0,0
8/31/2020,1577.550049,1577.550049,1561.880005,1561.880005,1561.880005,15.670044,-16.459961,-1.042865375,4348280000,0,0
9/1/2020,1561.099976,1578.579956,1554.189941,1578.579956,1578.579956,24.390015,16.699951,1.069221128,4101490000,0,0
9/2/2020,1578.780029,1595.040039,1567.430054,1592.290039,1592.290039,27.609985,13.710083,0.868507354,4295640000,0,0
